"DATA for Gaechter, Koelle, Quercia: Reciprocity and the Tragedies of Maintaining and Providing the Commons, Nature Human Behaviour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See README for list of variable labels and Methods for further details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,session,cpp,id,groupid,mg,period,oneshot,strangers,partners,punishment,type,CC,FR,OT,c,b,c_other,lag_c_other,pgsize,pun,pun_received,pc,dev_pc,u,cc0,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,cc11,cc12,cc13,cc14,cc15,cc16,cc17,cc18,cc19,cc20
1,7,1,101,702,702,1,1,0,0,0,1,1,0,0,10,8,9,,38,,,5,5,10,0,0,0,0,0,1,1,3,5,5,10,10,10,10,10,12,12,12,12,14,14
1,7,1,102,702,702,1,1,0,0,0,1,1,0,0,8,12,10,,38,,,16,-8,4,1,2,4,6,7,8,10,9,11,13,12,14,16,15,17,18,19,20,20,0,20
1,7,1,103,702,702,1,1,0,0,0,2,0,1,0,0,0,13,,38,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,1,104,702,702,1,1,0,0,0,1,1,0,0,20,20,6,,38,,,20,0,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,7,1,105,703,703,1,1,0,0,0,1,1,0,0,8,8,8,,31,,,6,2,6,0,1,1,2,2,4,4,6,6,8,8,10,10,12,12,14,14,15,16,17,18
1,7,1,106,703,703,1,1,0,0,0,1,1,0,0,10,8,7,,31,,,11,-1,10,0,5,5,5,7,9,10,10,11,11,12,12,12,13,15,15,17,18,18,18,20
1,7,1,107,703,703,1,1,0,0,0,1,1,0,0,10,7,7,,31,,,4,6,10,0,1,1,2,2,3,3,4,5,5,9,10,10,10,10,10,10,10,10,10,10
1,7,1,108,703,703,1,1,0,0,0,3,0,0,1,3,4,9,,31,,,0,3,15,0,0,2,0,0,1,0,0,0,0,3,0,2,1,0,2,0,0,2,0,2
1,7,1,109,704,704,1,1,0,0,0,1,1,0,0,0,1,5,,16,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,6,10,15,19,20
1,7,1,110,704,704,1,1,0,0,0,1,1,0,0,12,16,1,,16,,,15,-3,14,0,0,0,0,1,3,5,7,8,9,10,11,12,13,14,15,15,14,13,11,10
1,7,1,111,704,704,1,1,0,0,0,1,1,0,0,4,4,4,,16,,,2,2,15,0,0,1,1,2,2,2,2,3,3,3,3,4,4,4,3,3,4,5,5,8
1,7,1,112,704,704,1,1,0,0,0,3,0,0,1,0,5,5,,16,,,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5
1,8,1,113,801,801,1,1,0,0,0,2,0,1,0,0,5,9,,26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,1,114,801,801,1,1,0,0,0,1,1,0,0,10,9,5,,26,,,3,7,10,0,0,0,0,0,0,2,2,2,3,5,5,5,5,5,10,10,10,15,20,20
1,8,1,115,801,801,1,1,0,0,0,1,1,0,0,8,7,6,,26,,,7,1,8,0,0,0,3,4,4,5,7,8,9,9,9,10,11,13,14,15,16,16,17,20
1,8,1,116,801,801,1,1,0,0,0,1,1,0,0,8,12,6,,26,,,20,-12,5,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20
1,8,1,117,802,802,1,1,0,0,0,2,0,1,0,0,2,5,,15,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,1,118,802,802,1,1,0,0,0,3,0,0,1,0,5,5,,15,,,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0
1,8,1,119,802,802,1,1,0,0,0,1,1,0,0,10,14,2,,15,,,15,-5,15,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20
